Date,Price
2016-11-07,11.02
2016-11-06,11.16
2016-11-05,11.15
2016-11-04,10.88
2016-11-03,10.83
2016-11-02,10.79
2016-11-01,10.95
2016-10-31,11.22
2016-10-30,10.43
2016-10-29,11.1
2016-10-28,11.43
2016-10-27,11.5
2016-10-26,11.32
2016-10-25,11.9
2016-10-24,11.92
2016-10-23,12.04
2016-10-22,12.05
2016-10-21,12.03
2016-10-20,11.97
2016-10-19,12.53
2016-10-18,11.97
2016-10-17,11.94
2016-10-16,11.95
2016-10-15,11.9
2016-10-14,12.05
2016-10-13,11.77
2016-10-12,11.76
2016-10-11,11.78
2016-10-10,12.05
2016-10-09,12.28
2016-10-08,12.69
2016-10-07,12.87
2016-10-06,13.1
2016-10-05,13.34
2016-10-04,13.52
2016-10-03,13.28
2016-10-02,13.24
2016-10-01,13.24
2016-09-30,13.18
2016-09-29,13.31
2016-09-28,13.11
2016-09-27,12.88
2016-09-26,13.07
2016-09-25,12.94
2016-09-24,13.36
2016-09-23,13.1
2016-09-22,13.71
2016-09-21,15.09
2016-09-20,12.92
2016-09-19,12.58
2016-09-18,12.88
2016-09-17,12.6
2016-09-16,11.96
2016-09-15,11.93
2016-09-14,11.92
2016-09-13,11.87
2016-09-12,11.64
2016-09-11,12.07
2016-09-10,11.61
2016-09-09,11.42
2016-09-08,11.6
2016-09-07,11.73
2016-09-06,11.77
2016-09-05,11.76
2016-09-04,11.83
2016-09-03,12.11
2016-09-02,12.24
2016-09-01,11.52
2016-08-31,11.2
2016-08-30,10.95
2016-08-29,10.98
2016-08-28,11.21
2016-08-27,11.29
2016-08-26,11.34
2016-08-25,11
2016-08-24,10.98
2016-08-23,11.08
2016-08-22,11.17
2016-08-21,11.31
2016-08-20,10.73
2016-08-19,10.77
2016-08-18,10.79
2016-08-17,11.18
2016-08-16,11.22
2016-08-15,11.29
2016-08-14,11.59
2016-08-13,11.82
2016-08-12,11.73
2016-08-11,12.25
2016-08-10,12.31
2016-08-09,11.34
2016-08-08,11.05
2016-08-07,10.99
2016-08-06,11.18
2016-08-05,11.31
2016-08-04,10.7
2016-08-03,8.46
2016-08-02,11.02
2016-08-01,11.89
2016-07-31,12.6
2016-07-30,12.9
2016-07-29,12.95
2016-07-28,13.14
2016-07-27,12.1
2016-07-26,14
2016-07-25,12.66
2016-07-24,14.5
2016-07-23,14.99
2016-07-22,12.84
2016-07-21,12.58
2016-07-20,11.69
2016-07-19,11.15
2016-07-18,11.31
2016-07-17,11.91
2016-07-16,12
2016-07-15,11.68
2016-07-14,10.5
2016-07-13,10.52
2016-07-12,10.68
2016-07-11,11.02
2016-07-10,11
2016-07-09,11.22
2016-07-08,10.08
2016-07-07,10.59
2016-07-06,10.5
2016-07-05,11.43
2016-07-04,11.99
2016-07-03,12.16
2016-07-02,12.3
2016-07-01,12.49
